"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda"
0.2,0,0.00458333333333333,0.000689414129346632,0.8,10,0.05,1.8
0.2,1,0.053125,0.00186908749020608,0.8,10,0.05,1.8
0.8,0,0.776510416666667,0.00212589753664949,0.8,10,0.05,1.8
0.8,1,0.788802083333333,0.00170067515677146,0.8,10,0.05,1.8
0.2,0,0.0053125,0.000741958826817756,0.8,10,0.1,1.8
0.2,1,0.103680555555556,0.00254046900659576,0.8,10,0.1,1.8
0.8,0,0.778203125,0.00212013853362495,0.8,10,0.1,1.8
0.8,1,0.801458333333333,0.00166210644810186,0.8,10,0.1,1.8
0.2,0,0.00572916666666667,0.000770344670348074,0.8,10,0.2,1.8
0.2,1,0.205069444444444,0.00336471982426128,0.8,10,0.2,1.8
0.8,0,0.776510416666667,0.00212589753664949,0.8,10,0.2,1.8
0.8,1,0.818784722222222,0.00160499911788153,0.8,10,0.2,1.8
0.2,0,0.000208333333333333,0.000147306239148403,0.8,20,0.05,1.8
0.2,1,0.0504166666666667,0.00182342304891454,0.8,20,0.05,1.8
0.8,0,0.810520833333333,0.00199987507139947,0.8,20,0.05,1.8
0.8,1,0.82109375,0.00159698801829711,0.8,20,0.05,1.8
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.1,1.8
0.2,1,0.0963194444444444,0.00245865893422999,0.8,20,0.1,1.8
0.8,0,0.813645833333333,0.00198713466202493,0.8,20,0.1,1.8
0.8,1,0.831684027777778,0.00155895785205734,0.8,20,0.1,1.8
0.2,0,0,0,0.8,20,0.2,1.8
0.2,1,0.203611111111111,0.00335580848010171,0.8,20,0.2,1.8
0.8,0,0.813385416666667,0.00198820436665212,0.8,20,0.2,1.8
0.8,1,0.851336805555556,0.00148233022241322,0.8,20,0.2,1.8
0.2,0,0,0,0.8,30,0.05,1.8
0.2,1,0.0498611111111111,0.00181387918537515,0.8,30,0.05,1.8
0.8,0,0.839375,0.00187380601236586,0.8,30,0.05,1.8
0.8,1,0.8496875,0.001489085696129,0.8,30,0.05,1.8
0.2,0,0,0,0.8,30,0.1,1.8
0.2,1,0.0994444444444444,0.00249390181882424,0.8,30,0.1,1.8
0.8,0,0.841770833333333,0.00186243124965951,0.8,30,0.1,1.8
0.8,1,0.857517361111111,0.00145644793447829,0.8,30,0.1,1.8
0.2,0,0,0,0.8,30,0.2,1.8
0.2,1,0.199375,0.00332953632894663,0.8,30,0.2,1.8
0.8,0,0.841197916666667,0.0018651649035008,0.8,30,0.2,1.8
0.8,1,0.871197916666667,0.00139576526465249,0.8,30,0.2,1.8
0.2,0,0,0,0.8,40,0.05,1.8
0.2,1,0.0495138888888889,0.00180788266534285,0.8,40,0.05,1.8
0.8,0,0.870598958333333,0.00171284474874906,0.8,40,0.05,1.8
0.8,1,0.870607638888889,0.00139848587368192,0.8,40,0.05,1.8
0.2,0,0,0,0.8,40,0.1,1.8
0.2,1,0.103194444444444,0.00253519364654678,0.8,40,0.1,1.8
0.8,0,0.864348958333333,0.00174741542789878,0.8,40,0.1,1.8
0.8,1,0.880225694444444,0.00135291770397349,0.8,40,0.1,1.8
0.2,0,0,0,0.8,40,0.2,1.8
0.2,1,0.197986111111111,0.00332079557278245,0.8,40,0.2,1.8
0.8,0,0.868802083333333,0.00172291534486758,0.8,40,0.2,1.8
0.8,1,0.894809027777778,0.00127834165674277,0.8,40,0.2,1.8
0.2,0,0,0,0.8,50,0.05,1.8
0.2,1,0.0484027777777778,0.00178852724389205,0.8,50,0.05,1.8
0.8,0,0.8875,0.00161250282756025,0.8,50,0.05,1.8
0.8,1,0.894149305555556,0.00128187124589057,0.8,50,0.05,1.8
0.2,0,0,0,0.8,50,0.1,1.8
0.2,1,0.0995138888888889,0.00249467625121613,0.8,50,0.1,1.8
0.8,0,0.886145833333333,0.00162094062558192,0.8,50,0.1,1.8
0.8,1,0.898038194444444,0.00126083626260598,0.8,50,0.1,1.8
0.2,0,0,0,0.8,50,0.2,1.8
0.2,1,0.200277777777778,0.003335183996241,0.8,50,0.2,1.8
0.8,0,0.889114583333333,0.00160234535580503,0.8,50,0.2,1.8
0.8,1,0.91140625,0.00118399555491972,0.8,50,0.2,1.8
0.2,0,0.00510416666666667,0.000727341275256173,0.8,10,0.05,1.85
0.2,1,0.0555555555555556,0.00190891147984458,0.8,10,0.05,1.85
0.8,0,0.766744791666667,0.00215814755707625,0.8,10,0.05,1.85
0.8,1,0.780451388888889,0.00172476846924734,0.8,10,0.05,1.85
0.2,0,0.00510416666666667,0.000727341275256173,0.8,10,0.1,1.85
0.2,1,0.103263888888889,0.00253594833749519,0.8,10,0.1,1.85
0.8,0,0.766067708333333,0.00216032309491666,0.8,10,0.1,1.85
0.8,1,0.792986111111111,0.00168820452747036,0.8,10,0.1,1.85
0.2,0,0.00354166666666667,0.000606345861767524,0.8,10,0.2,1.85
0.2,1,0.202708333333333,0.00335025796227952,0.8,10,0.2,1.85
0.8,0,0.7671875,0.00215672091046727,0.8,10,0.2,1.85
0.8,1,0.815520833333333,0.00161615765020489,0.8,10,0.2,1.85
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.05,1.85
0.2,1,0.0488194444444444,0.00179581556917236,0.8,20,0.05,1.85
0.8,0,0.800208333333333,0.00204047022840819,0.8,20,0.05,1.85
0.8,1,0.809079861111111,0.00163762362376155,0.8,20,0.05,1.85
0.2,0,0,0,0.8,20,0.1,1.85
0.2,1,0.0979861111111111,0.00247755159440524,0.8,20,0.1,1.85
0.8,0,0.799427083333333,0.00204345753185865,0.8,20,0.1,1.85
0.8,1,0.819618055555556,0.00160211917682456,0.8,20,0.1,1.85
0.2,0,0,0,0.8,20,0.2,1.85
0.2,1,0.207847222222222,0.00338150801575837,0.8,20,0.2,1.85
0.8,0,0.799713541666667,0.00204236359825226,0.8,20,0.2,1.85
0.8,1,0.840243055555556,0.0015265986250393,0.8,20,0.2,1.85
0.2,0,0,0,0.8,30,0.05,1.85
0.2,1,0.0526388888888889,0.00186099397657118,0.8,30,0.05,1.85
0.8,0,0.820390625,0.00195891182555606,0.8,30,0.05,1.85
0.8,1,0.831822916666667,0.00155844463018606,0.8,30,0.05,1.85
0.2,0,0,0,0.8,30,0.1,1.85
0.2,1,0.101388888888889,0.00251544547585384,0.8,30,0.1,1.85
0.8,0,0.82234375,0.00195054954515672,0.8,30,0.1,1.85
0.8,1,0.842065972222222,0.00151950958118388,0.8,30,0.1,1.85
0.2,0,0,0,0.8,30,0.2,1.85
0.2,1,0.205486111111111,0.00336725353432705,0.8,30,0.2,1.85
0.8,0,0.824010416666667,0.00194334485649585,0.8,30,0.2,1.85
0.8,1,0.860277777777778,0.00144459006151659,0.8,30,0.2,1.85
0.2,0,0,0,0.8,40,0.05,1.85
0.2,1,0.0511805555555556,0.00183644582046847,0.8,40,0.05,1.85
0.8,0,0.844114583333333,0.00185115800133823,0.8,40,0.05,1.85
0.8,1,0.853680555555556,0.00147262186604908,0.8,40,0.05,1.85
0.2,0,0,0,0.8,40,0.1,1.85
0.2,1,0.101875,0.00252078634582656,0.8,40,0.1,1.85
0.8,0,0.845338541666667,0.00184521267158242,0.8,40,0.1,1.85
0.8,1,0.860329861111111,0.00144436451196064,0.8,40,0.1,1.85
0.2,0,0,0,0.8,40,0.2,1.85
0.2,1,0.202361111111111,0.00334811619611862,0.8,40,0.2,1.85
0.8,0,0.846067708333333,0.00184165158079318,0.8,40,0.2,1.85
0.8,1,0.874670138888889,0.00137956433228841,0.8,40,0.2,1.85
0.2,0,0,0,0.8,50,0.05,1.85
0.2,1,0.0478472222222222,0.00177875247927176,0.8,50,0.05,1.85
0.8,0,0.867005208333333,0.00173287889619921,0.8,50,0.05,1.85
0.8,1,0.870815972222222,0.0013975267577562,0.8,50,0.05,1.85
0.2,0,0,0,0.8,50,0.1,1.85
0.2,1,0.102291666666667,0.00252535007185758,0.8,50,0.1,1.85
0.8,0,0.86484375,0.00174472480332514,0.8,50,0.1,1.85
0.8,1,0.879392361111111,0.00135697323078898,0.8,50,0.1,1.85
0.2,0,0,0,0.8,50,0.2,1.85
0.2,1,0.200555555555556,0.00333691640447402,0.8,50,0.2,1.85
0.8,0,0.865885416666667,0.00173903473968923,0.8,50,0.2,1.85
0.8,1,0.891059027777778,0.00129819935468234,0.8,50,0.2,1.85
0.2,0,0.00416666666666667,0.000657468140856127,0.8,10,0.05,1.9
0.2,1,0.0563888888888889,0.00192232637991988,0.8,10,0.05,1.9
0.8,0,0.763828125,0.00216746430646615,0.8,10,0.05,1.9
0.8,1,0.773802083333333,0.00174321829793126,0.8,10,0.05,1.9
0.2,0,0.00333333333333333,0.000588303380058673,0.8,10,0.1,1.9
0.2,1,0.106805555555556,0.00257397166883334,0.8,10,0.1,1.9
0.8,0,0.758359375,0.00218455281000548,0.8,10,0.1,1.9
0.8,1,0.7846875,0.00171267720396514,0.8,10,0.1,1.9
0.2,0,0.00364583333333333,0.000615165938129224,0.8,10,0.2,1.9
0.2,1,0.200347222222222,0.00333561733326265,0.8,10,0.2,1.9
0.8,0,0.761744791666667,0.00217403229461188,0.8,10,0.2,1.9
0.8,1,0.811614583333333,0.00162926260347656,0.8,10,0.2,1.9
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.05,1.9
0.2,1,0.0526388888888889,0.00186099397657118,0.8,20,0.05,1.9
0.8,0,0.782317708333333,0.00210592632581682,0.8,20,0.05,1.9
0.8,1,0.796770833333333,0.00167668801637616,0.8,20,0.05,1.9
0.2,0,0,0,0.8,20,0.1,1.9
0.2,1,0.100347222222222,0.00250394032437507,0.8,20,0.1,1.9
0.8,0,0.784140625,0.00209953190007872,0.8,20,0.1,1.9
0.8,1,0.807777777777778,0.00164187570190947,0.8,20,0.1,1.9
0.2,0,0,0,0.8,20,0.2,1.9
0.2,1,0.199236111111111,0.00332866509730004,0.8,20,0.2,1.9
0.8,0,0.790859375,0.00207543376113827,0.8,20,0.2,1.9
0.8,1,0.827708333333333,0.00157348761231109,0.8,20,0.2,1.9
0.2,0,0,0,0.8,30,0.05,1.9
0.2,1,0.0520138888888889,0.00185052298701664,0.8,30,0.05,1.9
0.8,0,0.804348958333333,0.00202443285454144,0.8,30,0.05,1.9
0.8,1,0.815347222222222,0.00161674582765706,0.8,30,0.05,1.9
0.2,0,0,0,0.8,30,0.1,1.9
0.2,1,0.100208333333333,0.00250240003227194,0.8,30,0.1,1.9
0.8,0,0.802447916666667,0.00203183892791613,0.8,30,0.1,1.9
0.8,1,0.823368055555556,0.00158900096130855,0.8,30,0.1,1.9
0.2,0,0,0,0.8,30,0.2,1.9
0.2,1,0.201527777777778,0.00334296013977533,0.8,30,0.2,1.9
0.8,0,0.804869791666667,0.00202239093877143,0.8,30,0.2,1.9
0.8,1,0.844340277777778,0.00151056496344653,0.8,30,0.2,1.9
0.2,0,0,0,0.8,40,0.05,1.9
0.2,1,0.0479166666666667,0.00177997791894103,0.8,40,0.05,1.9
0.8,0,0.819322916666667,0.00196344675951893,0.8,40,0.05,1.9
0.8,1,0.832100694444444,0.00155741703395785,0.8,40,0.05,1.9
0.2,0,0,0,0.8,40,0.1,1.9
0.2,1,0.100347222222222,0.00250394032437507,0.8,40,0.1,1.9
0.8,0,0.816796875,0.00197407439386124,0.8,40,0.1,1.9
0.8,1,0.839444444444444,0.00152968207176453,0.8,40,0.1,1.9
0.2,0,0,0,0.8,40,0.2,1.9
0.2,1,0.194097222222222,0.00329598191873926,0.8,40,0.2,1.9
0.8,0,0.822213541666667,0.00195110972960876,0.8,40,0.2,1.9
0.8,1,0.856788194444444,0.0014595489849198,0.8,40,0.2,1.9
0.2,0,0,0,0.8,50,0.05,1.9
0.2,1,0.0490972222222222,0.00180065434380328,0.8,50,0.05,1.9
0.8,0,0.83984375,0.00187159223965803,0.8,50,0.05,1.9
0.8,1,0.843472222222222,0.0015139921744878,0.8,50,0.05,1.9
0.2,0,0,0,0.8,50,0.1,1.9
0.2,1,0.0986111111111111,0.00248457928769837,0.8,50,0.1,1.9
0.8,0,0.83953125,0.00187306871828929,0.8,50,0.1,1.9
0.8,1,0.853975694444444,0.00147139019635345,0.8,50,0.1,1.9
0.2,0,0,0,0.8,50,0.2,1.9
0.2,1,0.198888888888889,0.00332648425793065,0.8,50,0.2,1.9
0.8,0,0.837005208333333,0.00188491159750664,0.8,50,0.2,1.9
0.8,1,0.870746527777778,0.00139784659608183,0.8,50,0.2,1.9
0.2,0,0.00416666666666667,0.000657468140856127,0.8,10,0.05,1.95
0.2,1,0.0533333333333333,0.00187254274734676,0.8,10,0.05,1.95
0.8,0,0.756640625,0.00218982248687283,0.8,10,0.05,1.95
0.8,1,0.764704861111111,0.00176744509366975,0.8,10,0.05,1.95
0.2,0,0.00354166666666667,0.000606345861767524,0.8,10,0.1,1.95
0.2,1,0.105486111111111,0.00255991189929102,0.8,10,0.1,1.95
0.8,0,0.754817708333333,0.00219535942341754,0.8,10,0.1,1.95
0.8,1,0.780920138888889,0.00172344357029951,0.8,10,0.1,1.95
0.2,0,0.00322916666666667,0.000579068439172888,0.8,10,0.2,1.95
0.2,1,0.204583333333333,0.00336175688261954,0.8,10,0.2,1.95
0.8,0,0.753125,0.00220045317520747,0.8,10,0.2,1.95
0.8,1,0.803038194444444,0.00165711114261506,0.8,10,0.2,1.95
0.2,0,0,0,0.8,20,0.05,1.95
0.2,1,0.0497916666666667,0.00181268183786459,0.8,20,0.05,1.95
0.8,0,0.773255208333333,0.00213683077465,0.8,20,0.05,1.95
0.8,1,0.784670138888889,0.00171272730374989,0.8,20,0.05,1.95
0.2,0,0,0,0.8,20,0.1,1.95
0.2,1,0.102291666666667,0.00252535007185758,0.8,20,0.1,1.95
0.8,0,0.774140625,0.00213387528403637,0.8,20,0.1,1.95
0.8,1,0.793559027777778,0.00168647572520648,0.8,20,0.1,1.95
0.2,0,0,0,0.8,20,0.2,1.95
0.2,1,0.197083333333333,0.00331508005194221,0.8,20,0.2,1.95
0.8,0,0.771692708333333,0.00214201314759002,0.8,20,0.2,1.95
0.8,1,0.820815972222222,0.00159795694991338,0.8,20,0.2,1.95
0.2,0,0,0,0.8,30,0.05,1.95
0.2,1,0.051875,0.00184818605076479,0.8,30,0.05,1.95
0.8,0,0.782213541666667,0.00210628989426286,0.8,30,0.05,1.95
0.8,1,0.794305555555556,0.00168421530396497,0.8,30,0.05,1.95
0.2,0,0,0,0.8,30,0.1,1.95
0.2,1,0.0978472222222222,0.00247598568799075,0.8,30,0.1,1.95
0.8,0,0.783697916666667,0.00210109040800282,0.8,30,0.1,1.95
0.8,1,0.804809027777778,0.00165146286117892,0.8,30,0.1,1.95
0.2,0,0,0,0.8,30,0.2,1.95
0.2,1,0.196041666666667,0.00330845169236036,0.8,30,0.2,1.95
0.8,0,0.78609375,0.00209261315679181,0.8,30,0.2,1.95
0.8,1,0.826440972222222,0.0015780546981659,0.8,30,0.2,1.95
0.2,0,0,0,0.8,40,0.05,1.95
0.2,1,0.0458333333333333,0.00174275635944219,0.8,40,0.05,1.95
0.8,0,0.796770833333333,0.00205352396201894,0.8,40,0.05,1.95
0.8,1,0.804357638888889,0.00165290757997591,0.8,40,0.05,1.95
0.2,0,0,0,0.8,40,0.1,1.95
0.2,1,0.105833333333333,0.00256362388709165,0.8,40,0.1,1.95
0.8,0,0.793880208333333,0.00206432169911785,0.8,40,0.1,1.95
0.8,1,0.814722222222222,0.0016188588205775,0.8,40,0.1,1.95
0.2,0,0,0,0.8,40,0.2,1.95
0.2,1,0.200555555555556,0.00333691640447402,0.8,40,0.2,1.95
0.8,0,0.79265625,0.00206884503467335,0.8,40,0.2,1.95
0.8,1,0.835225694444444,0.00154574979068196,0.8,40,0.2,1.95
0.2,0,0,0,0.8,50,0.05,1.95
0.2,1,0.0509027777777778,0.00183172353952138,0.8,50,0.05,1.95
0.8,0,0.808854166666667,0.00200658505844556,0.8,50,0.05,1.95
0.8,1,0.815295138888889,0.00161692217606283,0.8,50,0.05,1.95
0.2,0,0,0,0.8,50,0.1,1.95
0.2,1,0.099375,0.00249312701153502,0.8,50,0.1,1.95
0.8,0,0.804427083333333,0.00202412692098702,0.8,50,0.1,1.95
0.8,1,0.824965277777778,0.00158333374552934,0.8,50,0.1,1.95
0.2,0,0,0,0.8,50,0.2,1.95
