"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.2,0,0.495416666666667,0.00510315502131123,0.8,0,0.05,1.95,0
0.2,1,0.528472222222222,0.00416005006796039,0.8,0,0.05,1.95,0
0.8,0,0.502317708333333,0.002551557626166,0.8,0,0.05,1.95,0
0.8,1,0.52640625,0.00208044398893922,0.8,0,0.05,1.95,0
0.2,0,0.499791666666667,0.00510336899521127,0.8,0,0.05,1.95,1
0.2,1,0.525555555555556,0.00416136521519265,0.8,0,0.05,1.95,1
0.8,0,0.4990625,0.00255158055416696,0.8,0,0.05,1.95,1
0.8,1,0.518628472222222,0.00208190498682096,0.8,0,0.05,1.95,1
0.2,0,0.498020833333333,0.00510332945723156,0.8,0,0.05,1.95,3
0.2,1,0.515138888888889,0.00416490096290183,0.8,0,0.05,1.95,3
0.8,0,0.498880208333333,0.00255157864033567,0.8,0,0.05,1.95,3
0.8,1,0.523923611111111,0.00208096528436224,0.8,0,0.05,1.95,3
0.2,0,0.498229166666667,0.00510333743130255,0.8,0,0.05,1.95,4
0.2,1,0.520277777777778,0.00416338325204009,0.8,0,0.05,1.95,4
0.8,0,0.497135416666667,0.00255154316325006,0.8,0,0.05,1.95,4
0.8,1,0.52234375,0.00208127018058911,0.8,0,0.05,1.95,4
0.2,0,0.496145833333333,0.00510321781892943,0.8,0,0.1,1.95,0
0.2,1,0.546597222222222,0.00414867708501699,0.8,0,0.1,1.95,0
0.8,0,0.503046875,0.00255153766392886,0.8,0,0.1,1.95,0
0.8,1,0.550885416666667,0.00207253438589555,0.8,0,0.1,1.95,0
0.2,0,0.502708333333333,0.00510329457052449,0.8,0,0.1,1.95,1
0.2,1,0.544722222222222,0.00415010999061438,0.8,0,0.1,1.95,1
0.8,0,0.504505208333333,0.00255148145873295,0.8,0,0.1,1.95,1
0.8,1,0.548836805555556,0.00207338987634209,0.8,0,0.1,1.95,1
0.2,0,0.497291666666667,0.00510329457052449,0.8,0,0.1,1.95,3
0.2,1,0.550694444444444,0.00414533922633274,0.8,0,0.1,1.95,3
0.8,0,0.497578125,0.00255155510666895,0.8,0,0.1,1.95,3
0.8,1,0.551701388888889,0.00207218374954608,0.8,0,0.1,1.95,3
0.2,0,0.497604166666667,0.00510331085101747,0.8,0,0.1,1.95,4
0.2,1,0.545694444444444,0.0041493744094651,0.8,0,0.1,1.95,4
0.8,0,0.499895833333333,0.00255158498400604,0.8,0,0.1,1.95,4
0.8,1,0.548993055555556,0.00207332587747991,0.8,0,0.1,1.95,4
0.2,0,0.497083333333333,0.00510328260931287,0.8,0,0.2,1.95,0
0.2,1,0.604791666666667,0.00407426975624048,0.8,0,0.2,1.95,0
0.8,0,0.498880208333333,0.00255157864033567,0.8,0,0.2,1.95,0
0.8,1,0.602083333333333,0.00203946800186895,0.8,0,0.2,1.95,0
0.2,0,0.494895833333333,0.00510310352004231,0.8,0,0.2,1.95,1
0.2,1,0.608819444444444,0.00406693022056001,0.8,0,0.2,1.95,1
0.8,0,0.50234375,0.00255155700667451,0.8,0,0.2,1.95,1
0.8,1,0.602413194444444,0.00203918086709354,0.8,0,0.2,1.95,1
0.2,0,0.501666666666667,0.00510334108608092,0.8,0,0.2,1.95,3
0.2,1,0.596319444444444,0.00408876579642701,0.8,0,0.2,1.95,3
0.8,0,0.500651041666667,0.00255158287637263,0.8,0,0.2,1.95,3
0.8,1,0.598854166666667,0.00204222791787134,0.8,0,0.2,1.95,3
0.2,0,0.4978125,0.00510332059713807,0.8,0,0.2,1.95,4
0.2,1,0.602430555555556,0.0040784376684515,0.8,0,0.2,1.95,4
0.8,0,0.499791666666667,0.00255158481788721,0.8,0,0.2,1.95,4
0.8,1,0.599652777777778,0.00204155395872467,0.8,0,0.2,1.95,4
0.2,0,0.00427083333333333,0.000665600945620997,0.8,10,0.05,1.95,0
0.2,1,0.0547222222222222,0.00189537619155494,0.8,10,0.05,1.95,0
0.8,0,0.754739583333333,0.002195595527858,0.8,10,0.05,1.95,0
0.8,1,0.768211805555556,0.00175824209269537,0.8,10,0.05,1.95,0
0.2,0,0.0034375,0.0005973936858839,0.8,10,0.05,1.95,1
0.2,1,0.0522916666666667,0.00185518586180421,0.8,10,0.05,1.95,1
0.8,0,0.754453125,0.00219646040786872,0.8,10,0.05,1.95,1
0.8,1,0.765416666666667,0.0017655908200551,0.8,10,0.05,1.95,1
0.2,0,0.0040625,0.000649231725097608,0.8,10,0.05,1.95,3
0.2,1,0.05125,0.00183762403893717,0.8,10,0.05,1.95,3
0.8,0,0.753125,0.00220045317520747,0.8,10,0.05,1.95,3
0.8,1,0.765868055555556,0.00176441134631408,0.8,10,0.05,1.95,3
0.2,0,0.00395833333333333,0.000640887703664829,0.8,10,0.05,1.95,4
0.2,1,0.054375,0.00188970034261727,0.8,10,0.05,1.95,4
0.8,0,0.754895833333333,0.00219512322117156,0.8,10,0.05,1.95,4
0.8,1,0.763506944444444,0.00177055010027687,0.8,10,0.05,1.95,4
0.2,0,0.003125,0.000569681829363504,0.8,10,0.1,1.95,0
0.2,1,0.0998611111111111,0.00249854280191056,0.8,10,0.1,1.95,0
0.8,0,0.755078125,0.0021945717020654,0.8,10,0.1,1.95,0
0.8,1,0.776458333333333,0.00173592456235624,0.8,10,0.1,1.95,0
0.2,0,0.004375,0.000673633892099765,0.8,10,0.1,1.95,1
0.2,1,0.101041666666667,0.0025116196149234,0.8,10,0.1,1.95,1
0.8,0,0.753072916666667,0.00220060918134637,0.8,10,0.1,1.95,1
0.8,1,0.777951388888889,0.00173178027617808,0.8,10,0.1,1.95,1
0.2,0,0.00322916666666667,0.000579068439172888,0.8,10,0.1,1.95,3
0.2,1,0.103333333333333,0.00253670267188641,0.8,10,0.1,1.95,3
0.8,0,0.7565625,0.002190060881719,0.8,10,0.1,1.95,3
0.8,1,0.778315972222222,0.00173076339505189,0.8,10,0.1,1.95,3
0.2,0,0.005,0.00071991885271554,0.8,10,0.1,1.95,4
0.2,1,0.104166666666667,0.00254572698834245,0.8,10,0.1,1.95,4
0.8,0,0.753776041666667,0.002198499453201,0.8,10,0.1,1.95,4
0.8,1,0.779079861111111,0.00172862651840592,0.8,10,0.1,1.95,4
0.2,0,0.00572916666666667,0.000770344670348074,0.8,10,0.2,1.95,0
0.2,1,0.200972222222222,0.00333951032303725,0.8,10,0.2,1.95,0
0.8,0,0.7546875,0.00219575287649749,0.8,10,0.2,1.95,0
0.8,1,0.804340277777778,0.001652963078129,0.8,10,0.2,1.95,0
0.2,0,0.003125,0.000569681829363504,0.8,10,0.2,1.95,1
0.2,1,0.205277777777778,0.00336598736545439,0.8,10,0.2,1.95,1
0.8,0,0.75484375,0.00219528070020438,0.8,10,0.2,1.95,1
0.8,1,0.799340277777778,0.0016687392466913,0.8,10,0.2,1.95,1
0.2,0,0.00270833333333333,0.000530455744225491,0.8,10,0.2,1.95,3
0.2,1,0.204583333333333,0.00336175688261954,0.8,10,0.2,1.95,3
0.8,0,0.751328125,0.00220581050381692,0.8,10,0.2,1.95,3
0.8,1,0.804756944444444,0.00165162973330333,0.8,10,0.2,1.95,3
0.2,0,0.003125,0.000569681829363504,0.8,10,0.2,1.95,4
0.2,1,0.203541666666667,0.00335538244206805,0.8,10,0.2,1.95,4
0.8,0,0.750026041666667,0.00220966073169479,0.8,10,0.2,1.95,4
0.8,1,0.804166666666667,0.00165351778315218,0.8,10,0.2,1.95,4
0.2,0,0.000208333333333333,0.000147306239148403,0.8,20,0.05,1.95,0
0.2,1,0.0513888888888889,0.00183997766640785,0.8,20,0.05,1.95,0
0.8,0,0.770729166666667,0.00214518792972411,0.8,20,0.05,1.95,0
0.8,1,0.784097222222222,0.00171437806293403,0.8,20,0.05,1.95,0
0.2,0,0,0,0.8,20,0.05,1.95,1
0.2,1,0.049375,0.00180547718228558,0.8,20,0.05,1.95,1
0.8,0,0.771145833333333,0.00214381701193461,0.8,20,0.05,1.95,1
0.8,1,0.783472222222222,0.00171617329317519,0.8,20,0.05,1.95,1
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.05,1.95,3
0.2,1,0.049375,0.00180547718228558,0.8,20,0.05,1.95,3
0.8,0,0.770286458333333,0.00214664126281189,0.8,20,0.05,1.95,3
0.8,1,0.78234375,0.001719399943638,0.8,20,0.05,1.95,3
0.2,0,0,0,0.8,20,0.05,1.95,4
0.2,1,0.0475,0.00177260973930169,0.8,20,0.05,1.95,4
0.8,0,0.77296875,0.00213778404328654,0.8,20,0.05,1.95,4
0.8,1,0.783333333333333,0.00171657144173459,0.8,20,0.05,1.95,4
0.2,0,0,0,0.8,20,0.1,1.95,0
0.2,1,0.0984027777777778,0.00248224014836102,0.8,20,0.1,1.95,0
0.8,0,0.771328125,0.00214321629629637,0.8,20,0.1,1.95,0
0.8,1,0.794236111111111,0.00168442594598782,0.8,20,0.1,1.95,0
0.2,0,0,0,0.8,20,0.1,1.95,1
0.2,1,0.100694444444444,0.00250778457848369,0.8,20,0.1,1.95,1
0.8,0,0.772395833333333,0.00213968631024592,0.8,20,0.1,1.95,1
0.8,1,0.796423611111111,0.00167775404618426,0.8,20,0.1,1.95,1
0.2,0,0,0,0.8,20,0.1,1.95,3
0.2,1,0.101319444444444,0.00251468103569685,0.8,20,0.1,1.95,3
0.8,0,0.769557291666667,0.00214902766790667,0.8,20,0.1,1.95,3
0.8,1,0.795,0.00168210469536951,0.8,20,0.1,1.95,3
0.2,0,0,0,0.8,20,0.1,1.95,4
0.2,1,0.100277777777778,0.00250317036369767,0.8,20,0.1,1.95,4
0.8,0,0.775520833333333,0.00212924089115208,0.8,20,0.1,1.95,4
0.8,1,0.7953125,0.00168115243220223,0.8,20,0.1,1.95,4
0.2,0,0.000208333333333333,0.000147306239148403,0.8,20,0.2,1.95,0
0.2,1,0.207569444444444,0.00337984008391075,0.8,20,0.2,1.95,0
0.8,0,0.773098958333333,0.00213735091601308,0.8,20,0.2,1.95,0
0.8,1,0.818107638888889,0.00160732974727762,0.8,20,0.2,1.95,0
0.2,0,0,0,0.8,20,0.2,1.95,1
0.2,1,0.200347222222222,0.00333561733326265,0.8,20,0.2,1.95,1
0.8,0,0.772578125,0.00213908166044398,0.8,20,0.2,1.95,1
0.8,1,0.815086805555556,0.00161762708629515,0.8,20,0.2,1.95,1
0.2,0,0,0,0.8,20,0.2,1.95,3
0.2,1,0.196805555555556,0.0033133160097741,0.8,20,0.2,1.95,3
0.8,0,0.7740625,0.00213413661207054,0.8,20,0.2,1.95,3
0.8,1,0.819861111111111,0.00160127680005196,0.8,20,0.2,1.95,3
0.2,0,0,0,0.8,20,0.2,1.95,4
0.2,1,0.200555555555556,0.00333691640447402,0.8,20,0.2,1.95,4
0.8,0,0.773645833333333,0.00213552856443543,0.8,20,0.2,1.95,4
0.8,1,0.816510416666667,0.00161279474722403,0.8,20,0.2,1.95,4
0.2,0,0,0,0.8,30,0.05,1.95,0
0.2,1,0.0470833333333333,0.00176520397390439,0.8,30,0.05,1.95,0
0.8,0,0.784583333333333,0.00209796980154188,0.8,30,0.05,1.95,0
0.8,1,0.795607638888889,0.00168025165048598,0.8,30,0.05,1.95,0
0.2,0,0,0,0.8,30,0.05,1.95,1
0.2,1,0.0513194444444444,0.00183880132031738,0.8,30,0.05,1.95,1
0.8,0,0.783489583333333,0.00210182258334672,0.8,30,0.05,1.95,1
0.8,1,0.79359375,0.00168637078374438,0.8,30,0.05,1.95,1
0.2,0,0,0,0.8,30,0.05,1.95,3
0.2,1,0.0476388888888889,0.00177506995221425,0.8,30,0.05,1.95,3
0.8,0,0.787369791666667,0.00208805483401547,0.8,30,0.05,1.95,3
0.8,1,0.795069444444444,0.00168189321504254,0.8,30,0.05,1.95,3
0.2,0,0,0,0.8,30,0.05,1.95,4
0.2,1,0.0484027777777778,0.00178852724389205,0.8,30,0.05,1.95,4
0.8,0,0.783385416666667,0.00210218837375867,0.8,30,0.05,1.95,4
0.8,1,0.796006944444444,0.00167903074297314,0.8,30,0.05,1.95,4
0.2,0,0,0,0.8,30,0.1,1.95,0
0.2,1,0.098125,0.00247911597134441,0.8,30,0.1,1.95,0
0.8,0,0.784713541666667,0.00209750967629414,0.8,30,0.1,1.95,0
0.8,1,0.807152777777778,0.00164390643283804,0.8,30,0.1,1.95,0
0.2,0,0,0,0.8,30,0.1,1.95,1
0.2,1,0.106041666666667,0.00256584693576182,0.8,30,0.1,1.95,1
0.8,0,0.78328125,0.00210255396613521,0.8,30,0.1,1.95,1
0.8,1,0.80703125,0.00164430052698698,0.8,30,0.1,1.95,1
0.2,0,0,0,0.8,30,0.1,1.95,3
0.2,1,0.0990972222222222,0.00249002402640285,0.8,30,0.1,1.95,3
0.8,0,0.785885416666667,0.00209335450661741,0.8,30,0.1,1.95,3
0.8,1,0.808541666666667,0.00163938466348568,0.8,30,0.1,1.95,3
0.2,0,0,0,0.8,30,0.1,1.95,4
0.2,1,0.0990972222222222,0.00249002402640285,0.8,30,0.1,1.95,4
0.8,0,0.781197916666667,0.00210982438436124,0.8,30,0.1,1.95,4
0.8,1,0.8059375,0.00164783613086847,0.8,30,0.1,1.95,4
0.2,0,0,0,0.8,30,0.2,1.95,0
0.2,1,0.203333333333333,0.00335410340415014,0.8,30,0.2,1.95,0
0.8,0,0.78515625,0.00209594291916114,0.8,30,0.2,1.95,0
0.8,1,0.824583333333333,0.00158469333573385,0.8,30,0.2,1.95,0
0.2,0,0,0,0.8,30,0.2,1.95,1
0.2,1,0.197986111111111,0.00332079557278245,0.8,30,0.2,1.95,1
0.8,0,0.782682291666667,0.00210465228434607,0.8,30,0.2,1.95,1
0.8,1,0.827309027777778,0.00157492989669462,0.8,30,0.2,1.95,1
0.2,0,0,0,0.8,30,0.2,1.95,3
0.2,1,0.199097222222222,0.00332779323498646,0.8,30,0.2,1.95,3
0.8,0,0.784322916666667,0.00209888911833991,0.8,30,0.2,1.95,3
0.8,1,0.827760416666667,0.00157329926106875,0.8,30,0.2,1.95,3
0.2,0,0,0,0.8,30,0.2,1.95,4
0.2,1,0.201180555555556,0.00334080517366865,0.8,30,0.2,1.95,4
0.8,0,0.779947916666667,0.00211414897168476,0.8,30,0.2,1.95,4
0.8,1,0.827083333333333,0.00157574373987272,0.8,30,0.2,1.95,4
0.2,0,0,0,0.8,40,0.05,1.95,0
0.2,1,0.0484722222222222,0.00178974449372154,0.8,40,0.05,1.95,0
0.8,0,0.794010416666667,0.00206383879731534,0.8,40,0.05,1.95,0
0.8,1,0.806197916666667,0.00164699615264532,0.8,40,0.05,1.95,0
0.2,0,0,0,0.8,40,0.05,1.95,1
0.2,1,0.0466666666666667,0.00175776014768215,0.8,40,0.05,1.95,1
0.8,0,0.796354166666667,0.00205509042339556,0.8,40,0.05,1.95,1
0.8,1,0.806927083333333,0.00164463812272052,0.8,40,0.05,1.95,1
0.2,0,0,0,0.8,40,0.05,1.95,3
0.2,1,0.0511805555555556,0.00183644582046847,0.8,40,0.05,1.95,3
0.8,0,0.795364583333333,0.00205879719105877,0.8,40,0.05,1.95,3
0.8,1,0.808038194444444,0.00164102760263852,0.8,40,0.05,1.95,3
0.2,0,0,0,0.8,40,0.05,1.95,4
0.2,1,0.048125,0.00178364805975549,0.8,40,0.05,1.95,4
0.8,0,0.793958333333333,0.00206403199726373,0.8,40,0.05,1.95,4
0.8,1,0.805104166666667,0.00165051639481894,0.8,40,0.05,1.95,4
0.2,0,0,0,0.8,40,0.1,1.95,0
0.2,1,0.101111111111111,0.00251238551980743,0.8,40,0.1,1.95,0
0.8,0,0.793776041666667,0.00206470778527258,0.8,40,0.1,1.95,0
0.8,1,0.816180555555556,0.00161391766395344,0.8,40,0.1,1.95,0
0.2,0,0,0,0.8,40,0.1,1.95,1
0.2,1,0.100902777777778,0.00251008670376154,0.8,40,0.1,1.95,1
0.8,0,0.795651041666667,0.00205772614060934,0.8,40,0.1,1.95,1
0.8,1,0.815017361111111,0.00161786188461889,0.8,40,0.1,1.95,1
0.2,0,0,0,0.8,40,0.1,1.95,3
0.2,1,0.0993055555555555,0.00249235182899881,0.8,40,0.1,1.95,3
0.8,0,0.794583333333333,0.00206171014150299,0.8,40,0.1,1.95,3
0.8,1,0.813854166666667,0.00162178202871465,0.8,40,0.1,1.95,3
0.2,0,0,0,0.8,40,0.1,1.95,4
0.2,1,0.101180555555556,0.00251315105800778,0.8,40,0.1,1.95,4
0.8,0,0.794244791666667,0.00206296874987126,0.8,40,0.1,1.95,4
0.8,1,0.816354166666667,0.001613326898534,0.8,40,0.1,1.95,4
0.2,0,0,0,0.8,40,0.2,1.95,0
0.2,1,0.192361111111111,0.00328474064133738,0.8,40,0.2,1.95,0
0.8,0,0.795520833333333,0.00205821317952779,0.8,40,0.2,1.95,0
0.8,1,0.836440972222222,0.0015411589669719,0.8,40,0.2,1.95,0
0.2,0,0,0,0.8,40,0.2,1.95,1
0.2,1,0.201458333333333,0.00334252945810034,0.8,40,0.2,1.95,1
0.8,0,0.79390625,0.00206422514490649,0.8,40,0.2,1.95,1
0.8,1,0.836475694444444,0.00154102735513069,0.8,40,0.2,1.95,1
0.2,0,0,0,0.8,40,0.2,1.95,3
0.2,1,0.200416666666667,0.00333605051360136,0.8,40,0.2,1.95,3
0.8,0,0.794296875,0.00206277526197904,0.8,40,0.2,1.95,3
0.8,1,0.834322916666667,0.00154914059524008,0.8,40,0.2,1.95,3
0.2,0,0,0,0.8,40,0.2,1.95,4
0.2,1,0.199305555555556,0.00332910079192575,0.8,40,0.2,1.95,4
0.8,0,0.794244791666667,0.00206296874987126,0.8,40,0.2,1.95,4
0.8,1,0.835746527777778,0.00154378600025714,0.8,40,0.2,1.95,4
0.2,0,0,0,0.8,50,0.05,1.95,0
0.2,1,0.0502083333333333,0.0018198513457328,0.8,50,0.05,1.95,0
0.8,0,0.808515625,0.00200794088245484,0.8,50,0.05,1.95,0
0.8,1,0.818177083333333,0.00160709109184493,0.8,50,0.05,1.95,0
0.2,0,0,0,0.8,50,0.05,1.95,1
0.2,1,0.049375,0.00180547718228558,0.8,50,0.05,1.95,1
0.8,0,0.808125,0.00200950231241666,0.8,50,0.05,1.95,1
0.8,1,0.814270833333333,0.00162038055452343,0.8,50,0.05,1.95,1
0.2,0,0,0,0.8,50,0.05,1.95,3
0.2,1,0.0509722222222222,0.00183290552445299,0.8,50,0.05,1.95,3
0.8,0,0.808125,0.00200950231241666,0.8,50,0.05,1.95,3
0.8,1,0.817274305555556,0.00161018679760776,0.8,50,0.05,1.95,3
0.2,0,0,0,0.8,50,0.05,1.95,4
0.2,1,0.0492361111111111,0.00180306774706074,0.8,50,0.05,1.95,4
0.8,0,0.804479166666667,0.00202392289596182,0.8,50,0.05,1.95,4
0.8,1,0.813489583333333,0.00162300580248013,0.8,50,0.05,1.95,4
0.2,0,0,0,0.8,50,0.1,1.95,0
0.2,1,0.0996527777777778,0.0024962239927034,0.8,50,0.1,1.95,0
0.8,0,0.804010416666667,0.00202575712601392,0.8,50,0.1,1.95,0
0.8,1,0.822204861111111,0.00159309798992826,0.8,50,0.1,1.95,0
0.2,0,0,0,0.8,50,0.1,1.95,1
0.2,1,0.101527777777778,0.00251697326045918,0.8,50,0.1,1.95,1
0.8,0,0.806640625,0.00201540673213499,0.8,50,0.1,1.95,1
0.8,1,0.824322916666667,0.00158561874485053,0.8,50,0.1,1.95,1
0.2,0,0,0,0.8,50,0.1,1.95,3
0.2,1,0.0997222222222222,0.00249699730249505,0.8,50,0.1,1.95,3
0.8,0,0.803958333333333,0.0020259606524963,0.8,50,0.1,1.95,3
0.8,1,0.826197916666667,0.00157892704961397,0.8,50,0.1,1.95,3
0.2,0,0,0,0.8,50,0.1,1.95,4
0.2,1,0.0976388888888889,0.00247363395424811,0.8,50,0.1,1.95,4
0.8,0,0.808463541666667,0.00200814925759481,0.8,50,0.1,1.95,4
0.8,1,0.825017361111111,0.00158314813244921,0.8,50,0.1,1.95,4
0.2,0,0,0,0.8,50,0.2,1.95,0
0.2,1,0.195902777777778,0.00330756518605652,0.8,50,0.2,1.95,0
0.8,0,0.806692708333333,0.00201520033438283,0.8,50,0.2,1.95,0
0.8,1,0.843420138888889,0.00151419728573286,0.8,50,0.2,1.95,0
0.2,0,0,0,0.8,50,0.2,1.95,1
0.2,1,0.196944444444444,0.00331419835033907,0.8,50,0.2,1.95,1
0.8,0,0.807473958333333,0.00201209761429952,0.8,50,0.2,1.95,1
0.8,1,0.840920138888889,0.0015239738202459,0.8,50,0.2,1.95,1
0.2,0,0,0,0.8,50,0.2,1.95,3
0.2,1,0.197083333333333,0.00331508005194221,0.8,50,0.2,1.95,3
0.8,0,0.809010416666667,0.00200595848259088,0.8,50,0.2,1.95,3
0.8,1,0.844791666666667,0.0015087763104305,0.8,50,0.2,1.95,3
0.2,0,0,0,0.8,50,0.2,1.95,4
0.2,1,0.201944444444444,0.00334554096322011,0.8,50,0.2,1.95,4
